,Name,Global_Sales,Critic_Score
412,EA Sports UFC 2,0.41,76
413,LEGO Dimensions,0.41,80
414,NHL 15,0.41,59
415,Tom Clancy's The Division,0.41,79
416,Call of Duty: Black Ops II,0.41,81
417,Call of Duty: Advanced Warfare,0.41,78
418,Rocksmith 2014,0.41,89
419,Duke Nukem Forever,0.41,54
420,Dragon Quest X,0.41,67
421,The Wonderful 101,0.4,78
422,FIFA 14,0.4,87
423,FIFA Soccer 13,0.4,86
424,Mafia II,0.4,77
425,Mass Effect 2,0.39,94
426,Dark Souls III,0.39,87
427,Sonic Lost World,0.39,63
428,Battlefield 1,0.38,88
429,Saints Row: The Third,0.38,84
430,Wii Sports Club,0.38,68
431,Skylanders Giants,0.37,80
432,Just Dance 4,0.37,66
433,Need for Speed: Hot Pursuit,0.37,86
434,Rage,0.37,79
435,Skylanders: Trap Team,0.37,78
436,Scribblenauts: Unlimited,0.37,73
437,Batman: Arkham City,0.36,85
438,Need for Speed: The Run,0.36,69
439,Sid Meier's Civilization: Beyond Earth,0.36,81
440,Star Fox: Zero,0.36,69
441,Zoo Tycoon (2013),0.36,68
442,Watch Dogs 2,0.36,83
443,ESPN: Sports Connection,0.36,31
444,Middle-Earth: Shadow of Mordor,0.35,84
445,Assassin's Creed III,0.35,85
446,Football Manager 2016,0.35,81
447,LEGO Marvel's Avengers,0.35,71
448,Call of Duty: Ghosts,0.34,69
449,Mario & Sonic at the Rio 2016 Olympic Games,0.34,65
450,Company of Heroes 2,0.34,80
451,The Sims 3: Town Life Stuff,0.34,60
452,Medal of Honor: Warfighter,0.33,55
453,Might & Magic Heroes VI,0.32,67
454,Dead Space 2,0.32,87
455,World of Warcraft: Legion,0.32,88
456,Fable III,0.32,75
457,Batman: Arkham Origins,0.31,74
458,Batman: Arkham Origins,0.31,68
459,Sonic Boom: Rise of Lyric,0.31,32
460,The Settlers 7: Paths to a Kingdom,0.31,79
461,Kingdoms of Amalur: Reckoning,0.3,81
462,Borderlands: The Pre-Sequel,0.29,75
463,Assassin's Creed IV: Black Flag,0.29,86
464,NES Remix,0.28,71
465,Need for Speed: Most Wanted,0.27,82
466,Sing Party,0.27,60
467,Mass Effect 3,0.27,94
468,Shin Megami Tensei x Fire Emblem,0.25,81
469,LEGO Marvel's Avengers,0.24,69
470,Game & Wario,0.23,81
471,Epic Mickey 2: The Power of Two,0.23,57
472,Madden NFL 13,0.23,75
473,LEGO The Hobbit,0.22,72
474,Disney's Planes,0.2,51
475,Guitar Hero Live,0.19,84
476,Injustice: Gods Among Us,0.19,82
477,Resident Evil: Revelations,0.19,80
478,Taiko no Tatsujin: Wii U Version!,0.19,78
479,Tekken Tag Tournament 2,0.18,83
480,Ninja Gaiden 3,0.18,58
481,Skylanders Imaginators,0.18,76
482,Darksiders II,0.15,85
483,Lego Star Wars: The Force Awakens,0.15,74
484,Your Shape: Fitness Evolved 2013,0.13,76
485,Transformers: Prime,0.13,56
486,Watch Dogs,0.13,62
487,Game Party: Champions,0.13,24
488,NBA 2K13,0.13,85
489,WipeOut 3 The Game,0.13,40
490,James Bond 007: Legends,0.12,50
491,Rodea the Sky Soldier,0.12,45
492,Marvel Avengers: Battle for Earth,0.12,50
493,Tom Clancy's Splinter Cell: Blacklist,0.12,75
494,LEGO Batman 2: DC Super Heroes,0.12,77
495,Taiko Drum Master: Tokumori!,0.11,70
496,The Walking Dead: Survival Instinct,0.11,38
497,Fatal Frame: Maiden of Black Water,0.11,67
498,Deus Ex: Human Revolution,0.11,90
499,Scribblenauts Unmasked: A DC Comics Adventure,0.1,71
